Removed Pin From Net: NetName=GND Pin=C1-1
Removed Pin From Net: NetName=VCC Pin=C1-2
Change Component Footprint: Designator=C1 Old Footprint=CAPC1608X90X35ML10T15 New Footprint=FP-C0603C-CF-MFG
Change Managed Component Library Link : Designator=C1 Old VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID=AFD66F38-AFC9-4278-9221-61F9B1E48352 New ItemGUID=47DD3188-27C7-42C2-A03D-17219B4635A0 Old RevisionGUID=B6DBF9A6-0FF3-4B00-89EA-FD970B9C67DE New RevisionGUID=E821B8B8-3E71-4527-8A5F-B475B7F75134
Change component parameters: Designator = "C1" ("C1"); Footprint = "CAPC1608X90X35ML10T15"; UniqueID = "\YIAPYFSE" ("\YIAPYFSE")
Change component parameters (AddParameter): Name = "Automotive"; Value = "Yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Automotive Grade"; Value = "Grade 1"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Capacitance"; Value = "10,000 pF"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Category"; Value = "Cap"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2Description"; Value = "Datasheet"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2URL"; Value = "https://api.kemet.com/component-edge/download/datasheet/C0603C100J5GACAUTO.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Device Class L1"; Value = "Passive Components"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Device Class L2"; Value = "Capacitors"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Device Class L3"; Value = "Ceramic Capacitors"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Digikey Description"; Value = "CAP CER 10000PF 200V X7R 0603"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Height"; Value = "0.87mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Lead Free"; Value = "Yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "KEMET"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number"; Value = "C0603C103K2RACTU"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Material"; Value = "Ceramic"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mouser Description"; Value = "Multilayer Ceramic Capacitors MLCC - SMD/SMT 200volts 10000pF X7R 10%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Octopart"; Value = "https://octopart.com/c0603c103k2ractu-kemet-1061947"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package"; Value = "C0603C-CF"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "RoHS"; Value = "TRUE"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Temperature"; Value = "-55°C to +125°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Temperature Characteristic"; Value = "X7R"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Temperature Coefficient"; Value = "30ppm/°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Temperature Range High"; Value = "+125°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Temperature Range Low"; Value = "-55°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tolerance"; Value = "0.1"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "10,000 pF"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage Rating"; Value = "200 V"; VariantName = "[No Variations]"
Added Pin To Net: NetName=VCC Pin=C1-1
Added Pin To Net: NetName=GND Pin=C1-2
